id,title,body,category,priority,status,resolution,language,created_at,tags
1,Password reset link expired,User cannot use the password reset email because the link times out,access,high,resolved,Issued a fresh reset link and extended token expiry,en,2026-02-03,password login reset
2,MFA code not received on new phone,User changed phones and the sign in verification code never arrives,access,high,resolved,Rebound the authenticator app and completed MFA re-enrollment,en,2026-02-04,mfa verification sign in
3,Account locked after too many attempts,Payroll portal now says the account is locked after repeated login failures,access,medium,resolved,Unlocked the account and updated the saved credential flow,en,2026-02-05,locked credentials login
4,SSO loop on HR portal,Employee signs in and gets sent back to the login screen again,access,medium,resolved,Cleared stale SSO cookies and refreshed the identity claim mapping,en,2026-02-06,sso login loop
5,VPN disconnects every ten minutes,Remote tunnel drops during calls and reconnects repeatedly,network,high,resolved,Updated the VPN client and disabled power saving on the adapter,en,2026-02-07,vpn remote disconnect
6,Cannot reach intranet from home wifi,Internet works at home but the internal wiki and Jira never open,network,high,resolved,Reconnected the split tunnel profile and refreshed route policy,en,2026-02-08,intranet remote vpn
7,Meeting room wifi connected no internet,Laptop shows connected in the office but websites never load,network,medium,resolved,Restarted the access point and cleared the stale DHCP lease,en,2026-02-09,wifi internet office
8,File server share is slow over VPN,Opening team files from home takes several minutes,network,medium,resolved,Optimized the remote file path and enabled regional cache routing,en,2026-02-10,file share remote latency
9,Shared drive says access denied,Finance folder is visible but the user cannot open the files,permissions,high,resolved,Added the user to the finance read group and forced permission sync,en,2026-02-11,permission denied shared drive
10,New teammate cannot access onboarding docs,Docs portal shows forbidden after the first sign in,permissions,medium,resolved,Assigned the docs viewer role and reissued SSO group claims,en,2026-02-12,forbidden docs role
11,Project folder opens read only,Engineer can view the folder but cannot save changes to it,permissions,medium,resolved,Corrected the project write group and refreshed the ACL mapping,en,2026-02-13,read only folder access
12,Printer offline on floor 3,Printer appears online but jobs remain stuck in queue,printing,medium,resolved,Restarted the spooler service and cleared the print queue,en,2026-02-14,printer queue offline
13,PDF prints as blank pages,Invoices print successfully but every page comes out empty,printing,low,resolved,Reinstalled the printer driver and switched to the universal PCL driver,en,2026-02-15,blank print pdf
14,Label printer drops random jobs,Shipping labels disappear before they reach the printer,printing,medium,resolved,Updated the print server mapping and replaced the faulty USB bridge,en,2026-02-16,label printer jobs
15,Outlook search misses recent mail,User cannot find emails from this week in Outlook search,mail,medium,resolved,Rebuilt the Outlook index and repaired the cached mailbox,en,2026-02-17,outlook search email
16,Cannot send email to external partner,Mail bounces only when messages go outside the company,mail,high,resolved,Removed the blocked relay rule and reran the message trace,en,2026-02-18,email outbound relay
17,Suspicious email asking for password,User reports a message that looks fake and asks for sign in credentials,security,high,resolved,Quarantined the email and enrolled the user in phishing reporting,en,2026-02-19,phishing suspicious credential
18,Software install blocked by admin rights,Approved design tool cannot be installed by the user,software,medium,resolved,Published the application from endpoint manager with elevated policy,en,2026-02-20,install admin rights
19,Build agent out of disk space,CI runner fails during package restore because storage is full,software,high,resolved,Expanded the agent volume and removed stale build cache,en,2026-02-21,disk space build agent
20,Spreadsheet export downloads empty file,Report export finishes but the downloaded spreadsheet has no rows,software,medium,resolved,Fixed the report filter mapping and regenerated the export job,en,2026-02-22,export spreadsheet empty
